y	x1	x2	x3	x4	x5	x6	x7	x8
207.36	0.39	11	22.99	1	6.87	C	86.02	10.1
230.25	0.18	6	26.89	12	5.89	B	106.15	10.04
212.58	0.45	14	23.65	3	4.77	C	114.09	11.33
235.78	0.87	9	24.1	4	5.11	D	110.02	11.19
219.24	0.4	11	25.55	0	5.71	B	103.14	10.05
213.7	0.57	9	25.15	1	5.21	D	105.15	9.22
232.95	0.6	6	24.18	2	6.44	B	111.54	9.45
191.94	0.95	12	28.26	0	3.51	B	107.74	9.25
201.97	0.89	12	28.39	2	5.08	D	94.9	10.18
198.82	0.96	9	23.05	6	5.22	B	98.21	12.02
206.1	0.97	4	25.63	10	4.51	C	107.04	8.92
213.36	0.23	14	27.61	10	3.95	C	103.98	8.99
180.23	0.6	15	26.56	8	5.49	B	102.12	9.86
215.32	0.38	13	26.34	0	6.57	A	99.26	10.06
202	0.92	11	25.91	0	5.62	A	85.99	10.19
177.84	0.43	12	27.86	17	5.16	C	91.54	11.36
185.91	0.27	6	26.04	3	5.01	C	80.41	9.56
193.09	0.47	12	23.07	16	5.65	D	95.98	10.1
197.54	0.05	7	21.67	5	4.26	D	86.52	9.36
202.31	0.07	10	25.39	1	4.52	A	102.17	10.73
210.88	0.51	8	24.32	10	6.03	A	87.52	10.01
193.7	0.01	10	24.92	0	4.26	A	96.22	10.95
211.99	0.18	9	27.74	5	5.28	D	97.88	9.64
208.51	0.53	7	23.05	1	4.92	C	106.7	10.38
217.16	0.93	4	26.53	6	5.32	A	104.22	9.24
217.11	0.35	12	23.01	0	5.37	C	106.5	10.5
196.98	0.43	11	21.45	1	4.61	B	107.5	8.92
193.79	0.25	10	20.03	8	4.88	B	104.57	9.87
215.1	0.61	9	23.02	7	4.54	B	99.67	10.08
189.13	0.28	8	25.31	3	5.02	C	101.96	8.97
201.3	0.12	12	23.52	0	4.96	B	109.54	10.08
212.39	0.33	12	22.5	2	4.4	D	95.18	9.42
201.99	0.78	10	24.75	4	5.87	D	97.25	10.96
