y x1 x2 x3 x4 x5 x6 x7 x8
195.21 0.95 7 27.66 5 4.89 C 97.08 10.4
209.17 0.63 11 23 3 5.46 C 110.1 10.21
220.23 0.11 15 24.66 6 5.1 C 120.65 9.96
202 0.92 11 25.91 0 5.62 A 85.99 10.19
191.98 0.38 13 22.1 7 5.53 D 94.41 10.07
222.18 0.23 12 22.84 10 5.78 D 112.5 9.66
201.2 0.26 10 25.01 2 5.59 B 99.64 10.55
183.48 0.3 12 24.02 4 5.56 D 95.93 8.62
216.08 0.58 12 23.88 2 5.36 D 109.69 11
199.31 0.87 10 24.42 1 4.29 C 97.25 9.82
195.45 0.57 10 24.03 2 5.82 B 92.26 10.23
212.89 0.06 15 23.71 2 5.27 C 104.14 8.33
200.42 0.88 12 25.21 10 3.57 C 97.09 9.4
209.33 0.42 13 24.34 5 6.03 C 99.36 10.32
210.72 0.1 8 26.37 6 4.27 D 108.12 11.05
177.21 0.04 10 24.98 8 4.48 C 76.99 10.02
215.41 0.36 15 24.69 0 5.68 B 117.59 9.92
202.62 0.2 9 22.25 0 3.78 B 96.45 10.62
210.97 0.52 7 26.46 3 4.93 A 109.41 9.43
187.69 0.5 4 23.63 0 4.87 A 93.05 10.09
200.11 0.67 8 25.08 0 4.54 B 87.58 10.22
226.17 0.34 8 26.81 4 6.11 A 102.56 9.22
195.15 0.42 12 24.9 7 5 B 96.96 10.37
172.17 0.9 11 21.84 1 5.13 D 87.34 10.74
196.98 0.43 11 21.45 1 4.61 B 107.5 8.92
220.68 0.79 8 24.47 1 4.28 B 94.89 11.4
223.43 0.52 10 23.04 7 4.7 A 102.07 11.21
213.57 0.32 8 24.5 0 5.28 C 104.93 9.44
210.28 0.53 14 24.84 4 4.56 A 112.92 9.61
227.18 0.92 4 21.98 0 5.92 A 114.42 9.09
212.1 0.91 14 25.45 2 4.68 B 102.58 10.96
209.24 0.43 8 23.75 0 5.53 A 89.9 9.85
222.79 0.07 10 23.94 0 5.11 C 102.99 8.99
180.72 0.97 11 25.03 0 6.35 A 83.14 9.27
219.75 0.99 11 22.62 0 4.78 C 110.89 10.79
170.44 0.74 9 25.52 0 5.08 B 84.75 8.93
204.16 0.97 10 24.07 14 4.43 C 105.79 9.84
210.74 0.18 10 23.32 2 6.16 B 98.83 11.64
206.47 0.24 10 22.97 10 4.86 C 93.37 9.44
184.91 0.26 7 25.55 18 4.98 B 78.23 10.76
220.74 0.63 12 31.88 2 5.37 A 110.88 10.43
204.42 0.86 11 28.16 4 5.36 C 103.4 9.38
237.35 0.12 11 24.02 0 3.8 C 129.21 8.87
213.36 0.23 14 27.61 10 3.95 C 103.98 8.99
179.91 0.57 15 25.18 6 4.45 A 75.58 11.04
201.84 0.94 6 23.83 7 5.19 A 95.13 11.04
195.93 0.96 10 24.37 2 5.61 A 101.84 9.12
211.93 0.16 15 26.75 0 6.31 C 90.4 9.84
201.06 0.23 16 23.75 0 4.77 C 108.78 11.09
197.56 0.61 10 24.6 1 4.01 C 91.4 9.87
